id,title,text,label,category,source_type,author,publication_date,country,language,word_count,has_source,credibility_score,shares,likes,comments
1076,Researchers prove that humans can survive without sleep for one year,A viral online claim says that researchers prove that humans can survive without sleep for one year. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Science,Social Media/Unverified,Author_106,2026-02-16,India,English,41,False,0.1,86076,32790,3704
1077,Company announces that its laptop can run for ten years without charging,Social media users are circulating a story claiming that company announces that its laptop can run for ten years without charging. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Weather,Social Media/Unverified,Author_96,2026-05-12,Canada,English,36,False,0.36,70320,35326,1780
1078,Social media post claims the moon will disappear for seven days,Social media users are circulating a story claiming that social media post claims the moon will disappear for seven days. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Entertainment,Social Media/Unverified,Author_42,2026-03-12,Canada,English,35,False,0.05,92968,26018,1813
1079,Online message says students can receive guaranteed jobs by sharing one post,A viral online claim says that online message says students can receive guaranteed jobs by sharing one post. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Health,Social Media/Unverified,Author_11,2026-03-13,Canada,English,42,False,0.31,4152,21017,10915
1080,Viral post claims a common household item can completely cure every disease,A viral online claim says that viral post claims a common household item can completely cure every disease. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Entertainment,Social Media/Unverified,Author_69,2026-02-14,Canada,English,42,False,0.24,89366,16708,5322
1081,Government announces new scholarship program for college students,"A recent report discusses government announces new scholarship program for college students. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Weather,Official/Reported,Author_34,2026-02-04,India,English,28,True,0.78,45114,65541,223
1082,Scientists discover a new method to improve solar panel efficiency,"According to an update shared by relevant organizations, scientists discover a new method to improve solar panel efficiency. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Education,Official/Reported,Author_14,2026-06-14,Australia,English,34,True,0.93,56938,62944,4742
1083,Local university opens a new artificial intelligence research center,"A recent report discusses local university opens a new artificial intelligence research center. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Entertainment,Official/Reported,Author_22,2026-07-08,Australia,English,29,True,0.79,67019,24497,4087
1084,New public transport route launched to connect rural areas,"A recent report discusses new public transport route launched to connect rural areas. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Technology,Official/Reported,Author_68,2026-04-22,Canada,English,29,True,0.8,92607,13513,11487
1085,Researchers publish study on reducing plastic waste in cities,"According to an update shared by relevant organizations, researchers publish study on reducing plastic waste in cities. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Science,Official/Reported,Author_49,2026-03-08,India,English,33,True,0.78,5038,35900,3148
1086,Health department releases updated vaccination schedule,Officials and researchers have reported an update related to health department releases updated vaccination schedule. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Weather,Official/Reported,Author_5,2026-04-03,India,English,37,True,0.84,68819,40171,11471
1087,National bank introduces updated digital payment security guidelines,"According to an update shared by relevant organizations, national bank introduces updated digital payment security guidelines. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Education,Official/Reported,Author_57,2026-06-14,Canada,English,32,True,0.76,55987,6775,4985
1088,Weather department issues rainfall advisory for several regions,Officials and researchers have reported an update related to weather department issues rainfall advisory for several regions. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Health,Official/Reported,Author_94,2026-05-12,Canada,English,39,True,0.81,6243,23827,669
1089,University launches internship program for engineering students,Officials and researchers have reported an update related to university launches internship program for engineering students. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Politics,Official/Reported,Author_83,2026-04-10,Canada,English,38,True,0.82,79508,13212,7059
1090,Technology company releases a software update with security fixes,Officials and researchers have reported an update related to technology company releases a software update with security fixes. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Health,Official/Reported,Author_126,2026-06-11,UK,English,40,True,0.78,87690,1795,11189
1091,Celebrity secretly becomes president of the country overnight,"An unverified internet post claims that celebrity secretly becomes president of the country overnight. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Science,Social Media/Unverified,Author_85,2026-06-24,UK,English,34,False,0.31,77199,69324,9907
1092,Scientists confirm that drinking one glass of water gives superpowers,Social media users are circulating a story claiming that scientists confirm that drinking one glass of water gives superpowers. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Education,Social Media/Unverified,Author_71,2026-04-19,Canada,English,34,False,0.08,13951,17107,10314
1093,Government announces free smartphones for every citizen tomorrow,"An unverified internet post claims that government announces free smartphones for every citizen tomorrow. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Technology,Social Media/Unverified,Author_11,2026-04-07,Canada,English,34,False,0.37,9824,71646,10141
1094,New app claims it can predict every person's future with 100 percent accuracy,Social media users are circulating a story claiming that new app claims it can predict every person's future with 100 percent accuracy. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Health,Social Media/Unverified,Author_122,2026-04-18,USA,English,37,False,0.07,25137,54820,9019
1095,Internet users discover a hidden button that makes phones charge instantly,"An unverified internet post claims that internet users discover a hidden button that makes phones charge instantly. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Health,Social Media/Unverified,Author_144,2026-06-12,Canada,English,37,False,0.27,15401,57168,1109
1096,Researchers prove that humans can survive without sleep for one year,Social media users are circulating a story claiming that researchers prove that humans can survive without sleep for one year. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Weather,Social Media/Unverified,Author_135,2026-01-06,Australia,English,35,False,0.15,16909,37970,744
1097,Company announces that its laptop can run for ten years without charging,"An unverified internet post claims that company announces that its laptop can run for ten years without charging. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Politics,Social Media/Unverified,Author_49,2026-07-16,Australia,English,38,False,0.35,9838,21699,7172
1098,Social media post claims the moon will disappear for seven days,"An unverified internet post claims that social media post claims the moon will disappear for seven days. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Weather,Social Media/Unverified,Author_144,2026-07-13,Australia,English,37,False,0.15,24135,476,2621
1099,Online message says students can receive guaranteed jobs by sharing one post,"An unverified internet post claims that online message says students can receive guaranteed jobs by sharing one post. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Education,Social Media/Unverified,Author_3,2026-08-17,Australia,English,38,False,0.14,28889,38849,11604
1100,Viral post claims a common household item can completely cure every disease,Social media users are circulating a story claiming that viral post claims a common household item can completely cure every disease. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Technology,Social Media/Unverified,Author_44,2026-04-02,Australia,English,36,False,0.13,5133,19421,14476
1101,Government announces new scholarship program for college students,"A recent report discusses government announces new scholarship program for college students. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Science,Official/Reported,Author_70,2026-01-21,USA,English,28,True,0.99,27531,70075,1903
1102,Scientists discover a new method to improve solar panel efficiency,Officials and researchers have reported an update related to scientists discover a new method to improve solar panel efficiency. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Business,Official/Reported,Author_95,2026-06-03,Australia,English,41,True,0.81,17522,53527,14718
1103,Local university opens a new artificial intelligence research center,"According to an update shared by relevant organizations, local university opens a new artificial intelligence research center. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Health,Official/Reported,Author_84,2026-01-21,India,English,33,True,0.95,28751,36664,2895
1104,New public transport route launched to connect rural areas,"A recent report discusses new public transport route launched to connect rural areas. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Politics,Official/Reported,Author_138,2026-02-24,Canada,English,29,True,0.98,33740,79217,9025
1105,Researchers publish study on reducing plastic waste in cities,Officials and researchers have reported an update related to researchers publish study on reducing plastic waste in cities. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Entertainment,Official/Reported,Author_57,2026-06-09,USA,English,40,True,0.89,98693,51839,2550
1106,Health department releases updated vaccination schedule,"A recent report discusses health department releases updated vaccination schedule. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Education,Official/Reported,Author_112,2026-06-05,Canada,English,26,True,0.77,23801,60218,3031
1107,National bank introduces updated digital payment security guidelines,Officials and researchers have reported an update related to national bank introduces updated digital payment security guidelines. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Education,Official/Reported,Author_146,2026-08-24,USA,English,39,True,0.91,2768,40658,2669
1108,Weather department issues rainfall advisory for several regions,Officials and researchers have reported an update related to weather department issues rainfall advisory for several regions. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Weather,Official/Reported,Author_49,2026-02-05,India,English,39,True,0.85,59650,52762,1642
1109,University launches internship program for engineering students,"According to an update shared by relevant organizations, university launches internship program for engineering students. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Science,Official/Reported,Author_4,2026-02-13,Canada,English,31,True,0.75,1786,5738,2165
1110,Technology company releases a software update with security fixes,Officials and researchers have reported an update related to technology company releases a software update with security fixes. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Technology,Official/Reported,Author_69,2026-03-21,Australia,English,40,True,0.75,1241,13943,8886
1111,Celebrity secretly becomes president of the country overnight,"An unverified internet post claims that celebrity secretly becomes president of the country overnight. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Business,Social Media/Unverified,Author_22,2026-04-05,Canada,English,34,False,0.32,58248,21388,5036
1112,Scientists confirm that drinking one glass of water gives superpowers,Social media users are circulating a story claiming that scientists confirm that drinking one glass of water gives superpowers. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Entertainment,Social Media/Unverified,Author_40,2026-04-02,Australia,English,34,False,0.29,82255,71257,2016
1113,Government announces free smartphones for every citizen tomorrow,A viral online claim says that government announces free smartphones for every citizen tomorrow. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Politics,Social Media/Unverified,Author_27,2026-05-04,Australia,English,38,False,0.36,54442,18595,19
1114,New app claims it can predict every person's future with 100 percent accuracy,A viral online claim says that new app claims it can predict every person's future with 100 percent accuracy. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Politics,Social Media/Unverified,Author_59,2026-07-13,USA,English,43,False,0.17,37607,29612,14401
1115,Internet users discover a hidden button that makes phones charge instantly,"An unverified internet post claims that internet users discover a hidden button that makes phones charge instantly. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Weather,Social Media/Unverified,Author_29,2026-08-06,India,English,37,False,0.13,36947,46838,1249
1116,Researchers prove that humans can survive without sleep for one year,"An unverified internet post claims that researchers prove that humans can survive without sleep for one year. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Business,Social Media/Unverified,Author_31,2026-06-03,India,English,37,False,0.26,23349,56186,8691
1117,Company announces that its laptop can run for ten years without charging,Social media users are circulating a story claiming that company announces that its laptop can run for ten years without charging. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Science,Social Media/Unverified,Author_109,2026-03-22,UK,English,36,False,0.27,37628,45668,14342
1118,Social media post claims the moon will disappear for seven days,A viral online claim says that social media post claims the moon will disappear for seven days. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Health,Social Media/Unverified,Author_128,2026-06-09,India,English,41,False,0.33,19492,19218,5247
1119,Online message says students can receive guaranteed jobs by sharing one post,A viral online claim says that online message says students can receive guaranteed jobs by sharing one post. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Weather,Social Media/Unverified,Author_115,2026-08-27,India,English,42,False,0.09,56037,36505,2370
1120,Viral post claims a common household item can completely cure every disease,A viral online claim says that viral post claims a common household item can completely cure every disease. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Business,Social Media/Unverified,Author_33,2026-03-25,Canada,English,42,False,0.17,64786,55557,7885
1121,Government announces new scholarship program for college students,"According to an update shared by relevant organizations, government announces new scholarship program for college students. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Weather,Official/Reported,Author_86,2026-03-26,USA,English,32,True,0.84,72012,65161,8826
1122,Scientists discover a new method to improve solar panel efficiency,"According to an update shared by relevant organizations, scientists discover a new method to improve solar panel efficiency. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Entertainment,Official/Reported,Author_137,2026-04-13,India,English,34,True,0.89,55301,69072,9467
1123,Local university opens a new artificial intelligence research center,"According to an update shared by relevant organizations, local university opens a new artificial intelligence research center. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Education,Official/Reported,Author_23,2026-04-12,India,English,33,True,0.8,2258,47505,9148
1124,New public transport route launched to connect rural areas,"A recent report discusses new public transport route launched to connect rural areas. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Science,Official/Reported,Author_29,2026-01-12,UK,English,29,True,0.95,18274,38631,7543
1125,Researchers publish study on reducing plastic waste in cities,Officials and researchers have reported an update related to researchers publish study on reducing plastic waste in cities. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Weather,Official/Reported,Author_63,2026-04-27,USA,English,40,True,0.76,18071,15371,11399
1126,Health department releases updated vaccination schedule,"According to an update shared by relevant organizations, health department releases updated vaccination schedule. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Science,Official/Reported,Author_97,2026-01-23,Canada,English,30,True,0.84,91944,13899,10858
1127,National bank introduces updated digital payment security guidelines,"According to an update shared by relevant organizations, national bank introduces updated digital payment security guidelines. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Technology,Official/Reported,Author_123,2026-03-01,USA,English,32,True,0.84,10363,32123,1262
1128,Weather department issues rainfall advisory for several regions,Officials and researchers have reported an update related to weather department issues rainfall advisory for several regions. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Weather,Official/Reported,Author_39,2026-03-16,USA,English,39,True,0.93,91572,39262,7703
1129,University launches internship program for engineering students,"A recent report discusses university launches internship program for engineering students. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Business,Official/Reported,Author_114,2026-01-10,India,English,27,True,0.79,84217,4214,9898
1130,Technology company releases a software update with security fixes,Officials and researchers have reported an update related to technology company releases a software update with security fixes. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Science,Official/Reported,Author_3,2026-07-27,Canada,English,40,True,0.91,59555,72639,11655
1131,Celebrity secretly becomes president of the country overnight,Social media users are circulating a story claiming that celebrity secretly becomes president of the country overnight. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Health,Social Media/Unverified,Author_59,2026-07-06,UK,English,32,False,0.39,68364,49492,2050
1132,Scientists confirm that drinking one glass of water gives superpowers,"An unverified internet post claims that scientists confirm that drinking one glass of water gives superpowers. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Education,Social Media/Unverified,Author_103,2026-01-08,Canada,English,36,False,0.11,97789,73312,9913
1133,Government announces free smartphones for every citizen tomorrow,A viral online claim says that government announces free smartphones for every citizen tomorrow. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Entertainment,Social Media/Unverified,Author_123,2026-06-21,Canada,English,38,False,0.34,21613,7170,13161
1134,New app claims it can predict every person's future with 100 percent accuracy,Social media users are circulating a story claiming that new app claims it can predict every person's future with 100 percent accuracy. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Weather,Social Media/Unverified,Author_50,2026-05-04,India,English,37,False,0.08,79071,43975,459
1135,Internet users discover a hidden button that makes phones charge instantly,A viral online claim says that internet users discover a hidden button that makes phones charge instantly. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Health,Social Media/Unverified,Author_42,2026-02-03,USA,English,41,False,0.26,99168,40521,3075
1136,Researchers prove that humans can survive without sleep for one year,"An unverified internet post claims that researchers prove that humans can survive without sleep for one year. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Education,Social Media/Unverified,Author_9,2026-04-09,India,English,37,False,0.39,74039,5886,9236
1137,Company announces that its laptop can run for ten years without charging,Social media users are circulating a story claiming that company announces that its laptop can run for ten years without charging. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Politics,Social Media/Unverified,Author_13,2026-06-03,UK,English,36,False,0.05,46756,37020,6523
1138,Social media post claims the moon will disappear for seven days,"An unverified internet post claims that social media post claims the moon will disappear for seven days. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Education,Social Media/Unverified,Author_81,2026-07-24,UK,English,37,False,0.39,92108,12768,5428
1139,Online message says students can receive guaranteed jobs by sharing one post,Social media users are circulating a story claiming that online message says students can receive guaranteed jobs by sharing one post. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Technology,Social Media/Unverified,Author_129,2026-03-01,Australia,English,36,False,0.33,62525,76860,14234
1140,Viral post claims a common household item can completely cure every disease,A viral online claim says that viral post claims a common household item can completely cure every disease. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Health,Social Media/Unverified,Author_42,2026-03-22,Canada,English,42,False,0.08,82054,12232,11771
1141,Government announces new scholarship program for college students,Officials and researchers have reported an update related to government announces new scholarship program for college students. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Education,Official/Reported,Author_37,2026-03-17,Australia,English,39,True,0.99,79798,68593,12593
1142,Scientists discover a new method to improve solar panel efficiency,"A recent report discusses scientists discover a new method to improve solar panel efficiency. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Entertainment,Official/Reported,Author_34,2026-06-10,UK,English,30,True,0.9,56489,5249,14592
1143,Local university opens a new artificial intelligence research center,"According to an update shared by relevant organizations, local university opens a new artificial intelligence research center. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Weather,Official/Reported,Author_62,2026-04-20,Australia,English,33,True,0.77,19985,74309,10285
1144,New public transport route launched to connect rural areas,"A recent report discusses new public transport route launched to connect rural areas. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Technology,Official/Reported,Author_4,2026-03-25,UK,English,29,True,0.88,11435,65398,1541
1145,Researchers publish study on reducing plastic waste in cities,"A recent report discusses researchers publish study on reducing plastic waste in cities. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Business,Official/Reported,Author_44,2026-05-06,India,English,29,True,0.82,47632,46321,1461
1146,Health department releases updated vaccination schedule,Officials and researchers have reported an update related to health department releases updated vaccination schedule. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Science,Official/Reported,Author_118,2026-05-16,UK,English,37,True,0.93,57949,18413,2031
1147,National bank introduces updated digital payment security guidelines,"According to an update shared by relevant organizations, national bank introduces updated digital payment security guidelines. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Entertainment,Official/Reported,Author_11,2026-06-28,UK,English,32,True,0.85,81233,16911,7222
1148,Weather department issues rainfall advisory for several regions,"A recent report discusses weather department issues rainfall advisory for several regions. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Business,Official/Reported,Author_96,2026-02-22,Canada,English,28,True,0.87,34459,5598,10168
1149,University launches internship program for engineering students,"According to an update shared by relevant organizations, university launches internship program for engineering students. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Politics,Official/Reported,Author_63,2026-01-05,India,English,31,True,0.82,20746,74733,6541
1150,Technology company releases a software update with security fixes,Officials and researchers have reported an update related to technology company releases a software update with security fixes. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Education,Official/Reported,Author_100,2026-08-22,India,English,40,True,0.83,61415,70143,14747
1151,Celebrity secretly becomes president of the country overnight,Social media users are circulating a story claiming that celebrity secretly becomes president of the country overnight. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Technology,Social Media/Unverified,Author_22,2026-03-24,India,English,32,False,0.37,52038,56774,3268
1152,Scientists confirm that drinking one glass of water gives superpowers,Social media users are circulating a story claiming that scientists confirm that drinking one glass of water gives superpowers. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Business,Social Media/Unverified,Author_17,2026-06-11,Australia,English,34,False,0.22,92060,62424,1873
1153,Government announces free smartphones for every citizen tomorrow,Social media users are circulating a story claiming that government announces free smartphones for every citizen tomorrow. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Entertainment,Social Media/Unverified,Author_10,2026-03-16,USA,English,32,False,0.27,41977,74480,513
1154,New app claims it can predict every person's future with 100 percent accuracy,"An unverified internet post claims that new app claims it can predict every person's future with 100 percent accuracy. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Weather,Social Media/Unverified,Author_16,2026-06-26,Canada,English,39,False,0.39,27983,7093,3465
1155,Internet users discover a hidden button that makes phones charge instantly,A viral online claim says that internet users discover a hidden button that makes phones charge instantly. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Weather,Social Media/Unverified,Author_70,2026-05-21,USA,English,41,False,0.08,9087,35906,6636
1156,Researchers prove that humans can survive without sleep for one year,A viral online claim says that researchers prove that humans can survive without sleep for one year. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Health,Social Media/Unverified,Author_116,2026-07-17,USA,English,41,False,0.28,34016,24132,13607
1157,Company announces that its laptop can run for ten years without charging,A viral online claim says that company announces that its laptop can run for ten years without charging. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Technology,Social Media/Unverified,Author_110,2026-06-25,UK,English,42,False,0.11,45790,54937,7890
1158,Social media post claims the moon will disappear for seven days,Social media users are circulating a story claiming that social media post claims the moon will disappear for seven days. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Science,Social Media/Unverified,Author_112,2026-06-23,Australia,English,35,False,0.19,1311,73524,12829
1159,Online message says students can receive guaranteed jobs by sharing one post,"An unverified internet post claims that online message says students can receive guaranteed jobs by sharing one post. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Education,Social Media/Unverified,Author_20,2026-03-11,UK,English,38,False,0.05,60127,19336,8182
1160,Viral post claims a common household item can completely cure every disease,Social media users are circulating a story claiming that viral post claims a common household item can completely cure every disease. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Technology,Social Media/Unverified,Author_105,2026-05-17,India,English,36,False,0.4,16488,58899,10468
1161,Government announces new scholarship program for college students,"According to an update shared by relevant organizations, government announces new scholarship program for college students. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Technology,Official/Reported,Author_10,2026-04-24,USA,English,32,True,0.85,71586,21776,9845
1162,Scientists discover a new method to improve solar panel efficiency,"A recent report discusses scientists discover a new method to improve solar panel efficiency. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Education,Official/Reported,Author_90,2026-04-07,Australia,English,30,True,0.98,48540,47688,265
1163,Local university opens a new artificial intelligence research center,"A recent report discusses local university opens a new artificial intelligence research center. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Health,Official/Reported,Author_129,2026-02-23,Canada,English,29,True,0.91,59778,54275,6723
1164,New public transport route launched to connect rural areas,"A recent report discusses new public transport route launched to connect rural areas. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Business,Official/Reported,Author_139,2026-07-17,UK,English,29,True,0.78,23054,60143,7018
1165,Researchers publish study on reducing plastic waste in cities,"A recent report discusses researchers publish study on reducing plastic waste in cities. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Science,Official/Reported,Author_142,2026-03-18,Canada,English,29,True,0.84,86465,57348,10389
1166,Health department releases updated vaccination schedule,"A recent report discusses health department releases updated vaccination schedule. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Technology,Official/Reported,Author_23,2026-02-03,India,English,26,True,0.9,53917,13593,8133
1167,National bank introduces updated digital payment security guidelines,"According to an update shared by relevant organizations, national bank introduces updated digital payment security guidelines. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Technology,Official/Reported,Author_114,2026-01-22,UK,English,32,True,0.95,27780,29218,12728
1168,Weather department issues rainfall advisory for several regions,"A recent report discusses weather department issues rainfall advisory for several regions. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Weather,Official/Reported,Author_30,2026-04-28,Canada,English,28,True,0.98,45965,60815,6765
1169,University launches internship program for engineering students,"According to an update shared by relevant organizations, university launches internship program for engineering students. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Weather,Official/Reported,Author_2,2026-06-26,USA,English,31,True,0.87,35086,34673,5036
1170,Technology company releases a software update with security fixes,"A recent report discusses technology company releases a software update with security fixes. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Education,Official/Reported,Author_2,2026-07-02,India,English,29,True,0.76,49084,68026,13435
1171,Celebrity secretly becomes president of the country overnight,"An unverified internet post claims that celebrity secretly becomes president of the country overnight. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Business,Social Media/Unverified,Author_86,2026-03-19,Canada,English,34,False,0.13,51306,25257,10096
1172,Scientists confirm that drinking one glass of water gives superpowers,"An unverified internet post claims that scientists confirm that drinking one glass of water gives superpowers. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Weather,Social Media/Unverified,Author_14,2026-07-05,Canada,English,36,False,0.39,22779,52842,14813
1173,Government announces free smartphones for every citizen tomorrow,Social media users are circulating a story claiming that government announces free smartphones for every citizen tomorrow. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Science,Social Media/Unverified,Author_112,2026-04-04,USA,English,32,False,0.23,82774,75624,12849
1174,New app claims it can predict every person's future with 100 percent accuracy,Social media users are circulating a story claiming that new app claims it can predict every person's future with 100 percent accuracy. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Health,Social Media/Unverified,Author_142,2026-03-11,USA,English,37,False,0.08,3370,57338,189
1175,Internet users discover a hidden button that makes phones charge instantly,"An unverified internet post claims that internet users discover a hidden button that makes phones charge instantly. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Science,Social Media/Unverified,Author_8,2026-02-19,Canada,English,37,False,0.06,96239,17116,7433
1176,Researchers prove that humans can survive without sleep for one year,"An unverified internet post claims that researchers prove that humans can survive without sleep for one year. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Business,Social Media/Unverified,Author_48,2026-04-21,USA,English,37,False,0.15,70188,32150,11899
1177,Company announces that its laptop can run for ten years without charging,Social media users are circulating a story claiming that company announces that its laptop can run for ten years without charging. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Health,Social Media/Unverified,Author_14,2026-05-03,USA,English,36,False,0.27,83684,75942,14203
1178,Social media post claims the moon will disappear for seven days,A viral online claim says that social media post claims the moon will disappear for seven days. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Technology,Social Media/Unverified,Author_118,2026-02-04,USA,English,41,False,0.15,23685,12165,1267
